date;region_code;region_name;lat;long;hospitalized_with_symptoms;intensive_care;total_hospitalized;home_isolation;positive_tests;new_positive_tests;discharged;deceased;total_cases;total_tests;;;;;;;;;;;;
02/03/2020;4;P.A. Trento;4.606.893.511;1.112.123.097;0;0;0;0;0;0;0;0;0;122;;;;;;;;;;;;
02/03/2020;10;Umbria;4.310.675.841;1.238.824.698;0;0;0;2;2;0;0;0;2;35;;;;;;;;;;;;
02/03/2020;2;Valle d'Aosta;4.573.750.286;7.320.149.366;0;0;0;0;0;0;0;0;0;11;;;;;;;;;;;;
02/03/2020;5;Veneto;4.543.490.485;1.233.845.213;53;14;67;204;271;10;0;2;273;9782;;;;;;;;;;;;
03/03/2020;13;Abruzzo;4.235.122.196;1.339.843.823;5;0;5;1;6;1;0;0;6;52;;;;;;;;;;;;
03/03/2020;17;Basilicata;4.063.947.052;1.580.514.834;0;0;0;1;1;1;0;0;1;42;;;;;;;;;;;;
03/03/2020;4;P.A. Bolzano;4.649.933.453;1.135.662.422;1;0;1;0;1;0;0;0;1;20;;;;;;;;;;;;
03/03/2020;18;Calabria;3.890.597.598;1.659.440.194;0;0;0;1;1;0;0;0;1;39;;;;;;;;;;;;
03/03/2020;15;Campania;4.083.956.555;1.425.084.984;11;0;11;19;30;13;0;0;30;405;;;;;;;;;;;;
03/03/2020;8;Emilia Romagna;4.449.436.681;113.417.208;187;24;211;187;398;74;4;18;420;2012;;;;;;;;;;;;
03/03/2020;6;Friuli Venezia Giulia;456.494.354;1.376.813.649;1;0;1;12;13;4;0;0;13;354;;;;;;;;;;;;
03/03/2020;12;Lazio;4.189.277.044;1.248.366.722;10;0;10;1;11;7;3;0;14;877;;;;;;;;;;;;
03/03/2020;7;Liguria;4.441.149.315;89.326.992;12;2;14;5;19;1;4;1;24;121;;;;;;;;;;;;
03/03/2020;3;Lombardia;4.546.679.409;9.190.347.404;698;167;865;461;1326;249;139;55;1520;9577;;;;;;;;;;;;
03/03/2020;11;Marche;4.361.675.973;135.188.753;27;13;40;19;59;25;0;2;61;200;;;;;;;;;;;;
03/03/2020;14;Molise;4.155.774.754;1.465.916.051;3;0;3;0;3;3;0;0;3;13;;;;;;;;;;;;
03/03/2020;1;Piemonte;450.732.745;7.680.687.483;13;3;16;40;56;5;0;0;56;458;;;;;;;;;;;;
03/03/2020;16;Puglia;4.112.559.576;1.686.736.689;2;0;2;4;6;2;0;0;6;298;;;;;;;;;;;;
03/03/2020;20;Sardegna;3.921.531.192;9.110.616.306;1;0;1;0;1;1;0;0;1;29;;;;;;;;;;;;
03/03/2020;19;Sicilia;3.811.569.725;133.623.567;2;0;2;3;5;0;2;0;7;307;;;;;;;;;;;;
03/03/2020;9;Toscana;4.376.923.077;1.125.588.885;10;0;10;8;18;6;1;0;19;697;;;;;;;;;;;;
03/03/2020;4;P.A. Trento;4.606.893.511;1.112.123.097;1;0;1;3;4;4;0;0;4;122;;;;;;;;;;;;
